Sno,Medicine Name,Doses Prescribed,Expiry Date ,Generic Information
1,Abacavir,3,02-09-2024,"Abacavir (brand name: Ziagen) isÿa prescription medicine approved by the U.S. Food and Drug Administration (FDA) for the treatment of HIV infection in adults, children, and infants. Abacavir is always used in combination with other HIV medicines."
2,Paracetamol,5,03-10-2024,"Paracetamol isÿa commonly used medicine that can help treat pain and reduce a high temperature (fever). It's typically used to relieve mild or moderate pain, such as headaches, toothache or sprains, and reduce fevers caused by illnesses such as colds and flu"
3,Ibuprofen,2,04-12-2024,"Ibuprofen isÿused to relieve pain from various conditions such as headache, dental pain, menstrual cramps, muscle aches, or arthritis. It is also used to reduce fever and to relieve minor aches and pain due to the common cold or flu. Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID)."
4,Indinavir,4,05-10-2024,"Indinavir is in a class of medications called protease inhibitors. It works by decreasing the amount of HIV in the blood. Although indinavir does not cure HIV, it may decrease your chance of developing acquired immunodeficiency syndrome (AIDS) and HIV-related illnesses such as serious infections or cancer"
5,Inotersen,1,06-05-2024,Inotersen injection isÿused to treat polyneuropathy (nerve disease) of hereditary transthyretin-mediatedÿamyloidosis. This medicine is available only under a restricted distribution program called Tegsedi? REMS (Risk Evaluation and Mitigation Strategy) Program.
6,Benadryl,4,07-05-2024,"Benadryl isÿa prescription medicine used to treat the symptoms of allergic reactions, insomnia, and motion sickness. Benadryl may be used alone or with other medications. Benadryl belongs to a class of drugs called Antihistamines, 1st Generation, Antiemetic Agents."
7,Dolo-650,1,08-10-2024,"Dolo 650 is a brand name, and it has 650 MG of paracetamol is also called Acetaminophen. It comes under non-steroidal anti-inflammatory drugs (NSAIDs) drug class. Paracetamol has antipyretic and analgesic, which helps in decreasing fever and pain, and it has a minimal anti-inflammatory action."
8,Ranitidine,4,19-11-2024,"Ranitidine isÿa histamine H2 antagonist used to treat duodenal ulcers, Zollinger-Ellison syndrome, gastric ulcers, GERD, and erosive esophagitis. Ranitidine is a commonly used drug, classified as a histamine H2-receptor antagonist, and belongs to the same drug class as cimetidine and famotidine."
9,Piriton,1,13-11-2024,"Piriton tablets are indicated for symptomatic control of all allergic conditions responsive to antihistamines, including hay fever, vasomotor rhinitis, urticaria, angioneurotic oedema, food allergy, drug and serum reactions, insect bites."
10,Loratidine ,3,18-11-2024,"Loratadine isÿused to temporarily relieve the symptoms of hay fever (allergy to pollen, dust, or other substances in the air) and other allergies. These symptoms include sneezing, runny nose, and itchy eyes, nose, or throat. Loratadine is also used to treat itching and redness caused by hives"
11,Diclofenac,7,22-11-2024,Diclofenac isÿa medication used in the management and treatment of inflammatory conditions and pain. It is in the class of non-steroidal anti-inflammatory drugs (NSAID).
12,Fentanyl,1,23-11-2024,"Fentanyl is a member of the class of drugs known as fentanyls, rapid-acting opioid (synthetic opiate) drugs that alleviate pain without causing loss of consciousness (analgesic). Fentanyl depresses central nervous system (CNS) and respiratory function. Exposure to fentanyl may be fatal."
13,Naloxone,1,14-10-2024,"Naloxone isÿa medication approved by the Food and Drug Administration (FDA) designed to rapidly reverse opioid overdose. It is an opioid antagonist?meaning that it binds to opioid receptors and can reverse and block the effects of other opioids, such as heroin, morphine, and oxycodone."
14,Diazepam,3,15-10-2024,"Diazepam isÿused to treat anxiety, alcohol withdrawal, and seizures. It is also used to relieve muscle spasms and to provide sedation before medical procedures. This medication works by calming the brain and nerves. Diazepam belongs to a class of drugs known as benzodiazepines."
15,Piperazine,6,16-10-2024,"Piperazine isÿa medication used to treat roundworm and pinworm. Piperazine is an organic compound that consists of a six-membered ring containing two opposing nitrogen atoms. First used as a solvent for uric acid, the use of piperazine as anÿanthelminticÿagent was first introduced in 1953."
16,Ampicillin,4,01-04-2024,Ampicillin isÿa penicillin derivative used for the treatment of a variety of infections caused by gram-positive and gram-negative bacteria as well as some anaerobes. Ampicillin is a semi-synthetic derivative of penicillin that functions as an orally active broad-spectrum antibiotic.
17,Cloxacillin,6,05-04-2024,"Cloxacillin isÿa semisynthetic penicillin antibiotic carrying a 3-(2-chlorophenyl)-5-methylisoxazole-4-carboxamido group at position 6. It has a role as an antibacterial agent and an antibacterial drug. It is a semisynthetic derivative, a penicillin allergen and a penicillin. It is functionally related to an oxacillin."
18,Doxycycline,2,03-04-2024,Doxycycline is in a class of medications called tetracycline antibiotics. It works to treat infections by preventing the growth and spread of bacteria. It works to treat acne by killing the bacteria that infects pores and decreasing a certain natural oily substance that causes acne.
19,Sulphadiazine,7,04-04-2024,"Sulfadiazine, a sulfa drug,ÿeliminates bacteria that cause infections, especially urinary tract infections. Antibiotics will not work for colds, flu, or other viral infections. This medication is sometimes prescribed for other uses; ask your doctor or pharmacist for more information."
20,Ofloxacin,2,05-04-2024,"Ofloxacin isÿa quinolone antibiotic useful for the treatment of a number of bacterial infections. When taken by mouth or injection into a vein, these include pneumonia, cellulitis, urinary tract infections, prostatitis, plague, and certain types of infectious diarrhea."
21,Fluconazole,7,06-04-2024,"Fluconazole isÿan antifungal medication used for a number of fungal infections. This includes candidiasis, blastomycosis, coccidiodomycosis, cryptococcosis, histoplasmosis, dermatophytosis, and pityriasis versicolor."
22,Nystatin,2,23-10-2024,Nystatin isÿused to treat fungal infections of the inside of the mouth and lining of the stomach and intestines. Nystatin is in a class of antifungal medications calledÿpolyenes. It works by stopping the growth of fungi that cause infection.
23,Lamivudine,7,24-10-2024,Lamivudine (Epivir) isÿused along with other medications to treat human immunodeficiency virus (HIV) infection in adults and children 3 months of age and older. Lamivudine (Epivir-HBV) is used to treat hepatitis B infection.
24,Efavirenz,2,25-10-2024,Efavirenz isÿused along with other medications to treat human immunodeficiency virus (HIV) infection. Efavirenz is in a class of medications called non-nucleosideÿreverse transcriptase inhibitorsÿ(NNRTIs). It works by decreasing the amount of HIV in the blood.
25,Ritonavir,1,26-10-2024,Ritonavir isÿan antiretroviral protease inhibitorÿthat is widely used in combination with other protease inhibitors in the therapy and prevention of human immunodeficiency virus (HIV) infection and the acquired immunodeficiency syndrome (AIDS).
